,year,player,squad,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,PositionFull
29,2019,Eric Bailly,Manchester Utd,DF,25,4,1,150,0,0,0,0,0,0,0.00,0.00,0.00,0.00,Defender
82,2019,Tahith Chong,Manchester Utd,FW,19,3,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,Forward
96,2019,Diogo Dalot,Manchester Utd,DF,20,4,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,Defender
137,2019,Bruno Fernandes,Manchester Utd,MF,24,14,14,"1,186",8,7,4,4,2,0,0.61,1.14,0.30,0.83,MidFielder
146,2019,Timothy Fosu-Mensah,Manchester Utd,DF,21,3,2,136,0,0,0,0,1,0,0.00,0.00,0.00,0.00,Defender
151,2019,Fred,Manchester Utd,MF,26,29,23,"2,163",0,0,0,0,8,0,0.00,0.00,0.00,0.00,MidFielder
157,2019,James Garner,Manchester Utd,MF,18,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,MidFielder
161,2019,David de Gea,Manchester Utd,GK,28,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,GoalKeeper
168,2019,Angel Gomes,Manchester Utd,MF,18,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,MidFielder
175,2019,Mason Greenwood,Manchester Utd,FW,17,31,12,"1,320",10,1,0,0,0,0,0.68,0.75,0.68,0.75,Forward
206,2019,Odion Ighalo,Manchester Utd,FW,30,11,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,Forward
212,2019,Daniel James,Manchester Utd,FW,21,33,26,"2,287",3,6,0,0,4,0,0.12,0.35,0.12,0.35,Forward
221,2019,Phil Jones,Manchester Utd,DF,27,2,2,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,Defender
261,2019,Victor Lindelöf,Manchester Utd,DF,25,35,35,"3,092",1,0,0,0,6,0,0.03,0.03,0.03,0.03,Defender
262,2019,Jesse Lingard,Manchester Utd,MF,26,22,9,935,1,0,0,0,3,0,0.10,0.10,0.10,0.10,MidFielder
278,2019,Harry Maguire,Manchester Utd,DF,26,38,38,"3,420",1,1,0,0,6,0,0.03,0.05,0.03,0.05,Defender
286,2019,Anthony Martial,Manchester Utd,FW,23,32,31,"2,624",17,6,0,1,1,0,0.58,0.79,0.58,0.79,Forward
293,2019,Juan Mata,Manchester Utd,MF,31,19,8,758,0,2,0,0,1,0,0.00,0.24,0.00,0.24,MidFielder
294,2019,Nemanja Matić,Manchester Utd,MF,30,21,18,"1,581",0,2,0,0,3,0,0.00,0.11,0.00,0.11,MidFielder
306,2019,Scott McTominay,Manchester Utd,MF,22,27,20,"1,772",4,1,0,0,2,0,0.20,0.25,0.20,0.25,MidFielder
361,2019,Andreas Pereira,Manchester Utd,MF,23,25,18,"1,484",1,3,0,0,3,0,0.06,0.24,0.06,0.24,MidFielder
369,2019,Paul Pogba,Manchester Utd,MF,26,16,13,"1,204",1,3,0,1,1,0,0.07,0.30,0.07,0.30,MidFielder
380,2019,Marcus Rashford,Manchester Utd,FW,21,31,31,"2,643",17,7,6,8,3,0,0.58,0.82,0.37,0.61,Forward
396,2019,Marcos Rojo,Manchester Utd,DF,29,3,1,122,0,0,0,0,1,0,0.00,0.00,0.00,0.00,Defender
421,2019,Luke Shaw,Manchester Utd,DF,24,24,20,"1,733",0,0,0,0,7,0,0.00,0.00,0.00,0.00,Defender
476,2019,Axel Tuanzebe,Manchester Utd,DF,21,5,2,189,0,0,0,0,0,0,0.00,0.00,0.00,0.00,Defender
491,2019,Aaron Wan-Bissaka,Manchester Utd,DF,21,35,34,"3,070",0,4,0,0,8,0,0.00,0.12,0.00,0.12,Defender
502,2019,Brandon Williams,Manchester Utd,DF,18,17,11,"1,006",1,0,0,0,6,0,0.09,0.09,0.09,0.09,Defender
515,2019,Ashley Young,Manchester Utd,DF,34,12,10,955,0,0,0,0,5,0,0.00,0.00,0.00,0.00,Defender
